"","genome_position","N","mean_Kd_inverse","N_over_1.5","N_0.15_to_1.5","N_0.09_to_0.15","N_0.04_to_0.09","Total_over_0.04"
"80000",40000000,1000,0.00281967,0,0,2,1,3
"80001",40000500,1000,0.00259445,0,0,0,0,0
"80002",40001000,1000,0.00261796,0,0,0,2,2
"80003",40001500,1000,0.0026773,0,0,0,3,3
"80004",40002000,1000,0.00271728,0,0,0,1,1
"80005",40002500,1000,0.00282292,0,0,1,2,3
"80006",40003000,1000,0.00279225,0,0,2,3,5
"80007",40003500,1000,0.00272861,0,0,2,2,4
"80008",40004000,1000,0.00282634,0,0,1,1,2
"80009",40004500,1000,0.00281317,0,0,1,1,2
"80010",40005000,1000,0.0027503,0,0,1,1,2
"80011",40005500,1000,0.00268047,0,0,0,0,0
"80012",40006000,1000,0.00279126,0,0,1,2,3
"80013",40006500,1000,0.00263573,0,0,1,2,3
"80014",40007000,1000,0.00266267,0,0,1,3,4
"80015",40007500,1000,0.00277204,0,0,1,3,4
"80016",40008000,1000,0.00248887,0,0,0,0,0
"80017",40008500,1000,0.00258442,0,0,0,0,0
"80018",40009000,1000,0.00276594,0,0,1,0,1
"80019",40009500,1000,0.00266442,0,0,1,0,1
"80020",40010000,1000,0.00267301,0,0,0,0,0
"80021",40010500,1000,0.00271992,0,0,0,0,0
"80022",40011000,1000,0.00262161,0,0,0,0,0
"80023",40011500,1000,0.00252592,0,0,0,0,0
"80024",40012000,1000,0.00256312,0,0,0,0,0
"80025",40012500,1000,0.00269517,0,0,0,0,0
"80026",40013000,1000,0.00272062,0,0,0,1,1
"80027",40013500,1000,0.00289673,0,0,1,2,3
"80028",40014000,1000,0.00307144,0,0,2,3,5
"80029",40014500,1000,0.00291038,0,0,1,4,5
"80030",40015000,1000,0.00266831,0,0,0,2,2
"80031",40015500,1000,0.00268724,0,0,0,0,0
"80032",40016000,1000,0.00272474,0,0,0,1,1
"80033",40016500,1000,0.00265038,0,0,0,1,1
"80034",40017000,1000,0.00263544,0,0,0,1,1
"80035",40017500,1000,0.00270787,0,0,0,1,1
"80036",40018000,1000,0.00272338,0,0,0,1,1
"80037",40018500,1000,0.00264556,0,0,0,1,1
"80038",40019000,1000,0.00264601,0,0,0,1,1
"80039",40019500,1000,0.00291629,0,1,0,1,2
"80040",40020000,1000,0.00301857,0,1,0,0,1
"80041",40020500,1000,0.00281182,0,0,0,2,2
"80042",40021000,1000,0.00273856,0,0,1,2,3
"80043",40021500,1000,0.00269678,0,0,1,0,1
"80044",40022000,1000,0.00271626,0,0,1,0,1
"80045",40022500,1000,0.00281002,0,0,1,1,2
"80046",40023000,1000,0.0028975,0,0,0,2,2
"80047",40023500,1000,0.00283568,0,0,1,2,3
"80048",40024000,1000,0.00272297,0,0,1,2,3
"80049",40024500,1000,0.00270158,0,0,0,2,2
"80050",40025000,1000,0.00274433,0,0,0,2,2
"80051",40025500,1000,0.00273013,0,0,0,1,1
"80052",40026000,1000,0.00266776,0,0,0,1,1
"80053",40026500,1000,0.00273879,0,0,0,2,2
"80054",40027000,1000,0.00280788,0,0,0,1,1
"80055",40027500,1000,0.00278459,0,0,0,0,0
"80056",40028000,1000,0.00272998,0,0,0,1,1
"80057",40028500,1000,0.00269555,0,0,0,1,1
"80058",40029000,1000,0.00283667,0,0,1,2,3
"80059",40029500,1000,0.00285711,0,0,1,2,3
"80060",40030000,1000,0.00279437,0,0,0,2,2
"80061",40030500,1000,0.00281768,0,0,0,5,5
"80062",40031000,1000,0.00277294,0,0,0,4,4
"80063",40031500,1000,0.00281046,0,0,0,1,1
