"","Species","Gene","Chromosome","peakStart","peakStop","GeneDirection","GeneStart","GeneStop","Distance","Proxy","Kd_Zenith","Kd_Max","ERE","Mis1_Max","Mis2_Max","Mis3_Max","Half","Info"
"1","Gorilla_gorilla","FKBP4","12",2772000,2774500,"+",2792842,2799755,18342,"Up",2772000,0.00322875,0,2,0,3,5,"ID=gene19495;Dbxref=GeneID:101135488;Name=FKBP4;gbkey=Gene;gene=FKBP4;gene_biotype=protein_coding"
"8","Gorilla_gorilla","SCNN1A","12",6390000,6392000,"-",6448558,6417769,25769,"Down",6390000,0.0030326,0,1,0,3,4,"ID=gene19544;Dbxref=GeneID:101149563;Name=SCNN1A;gbkey=Gene;gene=SCNN1A;gene_biotype=protein_coding"
"9","Gorilla_gorilla","CD69","12",9594000,9596000,"-",9611999,9603582,7582,"Down",9594000,0.00324148,0,2,0,2,4,"ID=gene19661;Dbxref=GeneID:101146932;Name=CD69;gbkey=Gene;gene=CD69;gene_biotype=protein_coding"
"2","Gorilla_gorilla","DDIT3","12",28561000,28563000,"+",28606997,28610924,43997,"Up",28561000,0.00300512,0,0,1,6,7,"ID=gene19869;Dbxref=GeneID:101140706;Name=DDIT3;gbkey=Gene;gene=DDIT3;gene_biotype=protein_coding"
"3","Gorilla_gorilla","DDIT3","12",28563000,28565000,"+",28606997,28610924,41997,"Up",28563000,0.0030065,0,0,0,3,3,"ID=gene19869;Dbxref=GeneID:101140706;Name=DDIT3;gbkey=Gene;gene=DDIT3;gene_biotype=protein_coding"
"19","Gorilla_gorilla","DDIT3","12",28616000,28618000,"+",28606997,28610924,5076,"Down",28616000,0.00300435,0,1,0,2,3,"ID=gene19869;Dbxref=GeneID:101140706;Name=DDIT3;gbkey=Gene;gene=DDIT3;gene_biotype=protein_coding"
"20","Gorilla_gorilla","DDIT3","12",28649500,28652000,"+",28606997,28610924,38576,"Down",28649500,0.00307031,0,1,2,3,5,"ID=gene19869;Dbxref=GeneID:101140706;Name=DDIT3;gbkey=Gene;gene=DDIT3;gene_biotype=protein_coding"
"10","Gorilla_gorilla","SHMT2","12",28857000,28859000,"-",28894661,28889302,30302,"Down",28857000,0.00300503,0,1,1,2,4,"ID=gene19878;Dbxref=GeneID:101134424;Name=SHMT2;gbkey=Gene;gene=SHMT2;gene_biotype=protein_coding"
"23","Gorilla_gorilla","SHMT2","12",28917500,28920000,"-",28894661,28889302,22839,"Up",28917500,0.00328776,0,2,0,1,3,"ID=gene19878;Dbxref=GeneID:101134424;Name=SHMT2;gbkey=Gene;gene=SHMT2;gene_biotype=protein_coding"
"24","Gorilla_gorilla","SHMT2","12",28920000,28922500,"-",28894661,28889302,25339,"Up",28920000,0.00312877,0,1,1,3,5,"ID=gene19878;Dbxref=GeneID:101134424;Name=SHMT2;gbkey=Gene;gene=SHMT2;gene_biotype=protein_coding"
